product_name,new_price,product_rating,Processor_OR_Generation,RAM(GB),Operating_System,SSD(GB),Display(cm),rating_without_dis
ZEBRONICS Pro Series Y Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 2S T...,very low,Good,Intel Core i5 Processor (11th Gen),16.0,64 bit Windows 11 Operating System,512.0,39.62,4.0
Infinix INBook X2 Plus Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) XL25 Thin and...,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,64 bit Windows 11 Operating System,256.0,39.62,4.2
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,Moderate,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.5
Infinix Inbook Y1 Plus Intel Core i5 10th Gen 1035G1 - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and...,very low,Excellent,Intel Core i5 Processor (10th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.4
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Ho...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.3
ASUS X1500EA-EJ3379WS Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3379WS Thin...,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.1
ASUS Vivobook S15 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,5.0
Apple 2022 MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,Moderate,Excellent,Apple M2 Processor,8.0,Mac OS Operating System,256.0,34.54,4.7
ASUS Vivobook 15X (2023) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ3...,very low,Excellent,Intel Core i3 Processor (13th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.1
MSI Modern 14 Intel Core i5 11th Gen 1155G7 - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-030IN T...,very low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,35.56,4.2
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-062IN Thi...,very low,Excellent,AMD Ryzen 5 Hexa Core Processor,16.0,Windows 11 Operating System,512.0,35.56,4.3
MSI Katana 15 Intel Core i7 12th Gen 12650H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,1000.0,39.62,4.5
HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX NVIDIA) ...,low,Good,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,40.89,3.9
ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Hom...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
HP Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5330TU Thin and Light Lapto...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.2
"ASUS ROG Strix G16 (2023), Intel Intel Core i5 13th Gen 13450HX - (16 GB/1 TB SSD/Windows 11 Home/6 GB...",Moderate,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,1000.0,40.64,4.4
HP 14s Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) 14s- dq3032tu Thin and Light ...,very low,Good,Intel Celeron Dual Core Processor,8.0,64 bit Windows 11 Operating System,256.0,35.56,3.8
HP 15s AMD Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s-eq2132au Thin and Light La...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.3
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/512 GB SSD/Windows 11 Ho...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.4
Infinix Inbook Y2 Plus Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL29 Thin an...,very low,Excellent,Intel Core i5 Processor (11th Gen),16.0,64 bit Windows 11 Operating System,512.0,39.62,4.1
MSI Modern 14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C7M-063IN Thin...,very low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,35.56,4.3
HP Victus AMD Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX 6...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,39.62,4.3
HP 15s (2023) AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) 15-fc0030AU Thin and Li...,low,Excellent,AMD Ryzen 5 Quad Core Processor,16.0,64 bit Windows 11 Operating System,512.0,39.62,4.3
"ASUS Vivobook 16X (2023) For Creator, Intel H-Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD...",low,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,40.64,4.2
HP 841w6pa 255 g9 AMD Ryzen 3 Dual Core AMD Ryzen™ 3 processor 3250U - (8 GB/512 GB SSD/DOS) 255 G8 La...,very low,Good,AMD Ryzen 3 Dual Core Processor,8.0,DOS Operating System,512.0,39.62,3.9
Ultimus Intel Celeron Dual Core N4020 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NU14U3INC43BN-CS Th...,very low,Meduim,Intel Celeron Dual Core Processor,4.0,Windows 11 Operating System,35.81,1.0,3.0
Infinix X3 Slim Intel Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) XL422 Thin and...,low,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
ASUS Vivobook Intel Celeron Dual Core N4020 - (8 GB/512 GB SSD/Windows 10 Home) X515MA-BR022WS Thin an...,very low,Good,Intel Celeron Dual Core Processor,8.0,64 bit Windows 11 Operating System,512.0,39.62,3.9
ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
SAMSUNG Galaxy Book3 Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XFG-KA3IN ...,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.5
ASUS Vivobook Pro 15 OLED For Creator AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.2
MSI Katana GF66 Intel Core i7 12th Gen 12650H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA ...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.5
ASUS TUF Gaming F15 with 90Whr Battery with 90WHr Battery Intel H-Series Intel Core i5 11th Gen 11400H...,low,Excellent,Intel Core i5 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.7
ASUS Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Home) X1400EA-EK543WS Thin and Light...,low,Excellent,Intel Core i5 Processor (11th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.3
ASUS Zenbook 14 Flip AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home) UN5401QA-KN701WS 2...,Moderate,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,64 bit Windows 11 Operating System,1000.0,35.56,4.4
ASUS ROG Strix G15 AMD Ryzen 7 Octa Core 6800HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVID...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.3
ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS - (16 GB/512 GB SSD/Windows 11 Home) M1502QA-EJ742WS Thi...,low,Excellent,AMD Ryzen 7 Octa Core Processor,16.0,Windows 11 Operating System,512.0,39.62,4.2
ASUS Vivobook 16 (2023) Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) X1605VAB-MB5...,low,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,4.5
HP 15s Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5111TU Thin and Light La...,low,Excellent,Intel Core i5 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.3
HP 2023 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light L...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.2
MSI GF63 Intel Core i5 11th Gen 11260H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.2
Acer Aspire 5 Gaming Intel Core i5 12th Gen 1240P - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NV...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,512.0,39.62,4.1
HP G9 Intel Core i3 12th Gen 1220U - (8 GB/512 GB SSD/Windows 11 Pro) 240 G9 Laptop,very low,Meduim,Intel Core i3 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,35.56,2.9
DELL Inspiron Intel Core i5 11th Gen 1135G7 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) INSPIRON 3511...,low,Excellent,Intel Core i5 Processor (11th Gen),8.0,64 bit Windows 11 Operating System,1000.0,39.62,4.1
Apple 2023 MacBook Pro Apple M3 Pro - (18 GB/512 GB SSD/macOS Sonoma) MRX63HN/A,Very Expensive,Excellent,Apple M3 Pro Processor,18.0,Mac OS Operating System,512.0,35.56,4.4
Infinix ZEROBOOK 13 Intel Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thi...,low,Excellent,Intel Core i5 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.1
Acer One 11 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) Z8-284 Thin and Light La...,very low,Good,Intel Celeron Dual Core Processor,8.0,Windows 11 Operating System,256.0,29.46,3.5
ASUS TUF Gaming F15 - AI Powered Gaming Intel Core i5 11th Gen 11400H - (8 GB/1 TB SSD/Windows 11 Home...,low,Good,Intel Core i5 Processor (11th Gen),8.0,Windows 11 Operating System,1000.0,39.62,3.7
Infinix X2 Slim Intel Core i5 11th Gen 1155G7 - (16 GB/512 GB SSD/Windows 11 Home) XL23 Thin and Light...,very low,Excellent,Intel Core i5 Processor (11th Gen),16.0,64 bit Windows 11 Operating System,512.0,35.56,4.1
Infinix X3 Slim Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) XL422 Thin and ...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,35.56,4.1
Infinix ZEROBOOK 13 Intel Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) ZL513 Thi...,low,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,99.06,4.3
Lenovo Ideapad Slim 5i Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 16IRL8 Thin ...,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,64 bit Windows 11 Operating System,512.0,40.64,4.1
ASUS X1500EA-EJ3379WS Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3379WS Thin...,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,512.0,39.62,4.1
DELL Inspiron Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3520 Thin and ...,very low,Excellent,Intel Core i3 Processor (12th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.7
Infinix Y4 Max Series Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,low,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,5.0
WINGS Nuvobook S1 Aluminium Alloy Metal Body Intel Intel Core i3 11th Gen 1125G4 - (8 GB/256 GB SSD/Wi...,very low,Excellent,Intel Core i3 Processor (11th Gen),8.0,Windows 11 Operating System,256.0,39.62,4.2
DELL AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3525 Thin and Light Lapt...,low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,39.62,4.3
Lenovo ThinkPad E14 Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen ...,low,Good,Intel Core i3 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,35.56,3.6
HP 240 G8 Intel Core i3 11th Gen 11th Generation Intel® Core™ i3 processor - (8 GB/512 GB SSD/DOS) 240...,very low,Good,Intel Core i3 Processor (11th Gen),8.0,DOS Operating System,512.0,35.56,3.5
HP 15s (2023) Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0011TU Thin and Li...,low,Excellent,Intel Core i5 Processor (13th Gen),8.0,64 bit Windows 11 Operating System,512.0,39.62,4.2
HP Envy x360 Creator OLED Eyesafe Evo Intel Core i7 12th Gen 1250U - (16 GB/1 TB SSD/Windows 11 Home) ...,Moderate,Excellent,Intel Core i7 Processor (12th Gen),16.0,64 bit Windows 11 Operating System,1000.0,33.78,4.2
DELL Inspiron Intel Core i3 11th Gen 1115G4 - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Inspiron 3511...,low,Excellent,Intel Core i3 Processor (11th Gen),8.0,64 bit Windows 11 Operating System,1000.0,39.62,4.3
"ASUS Vivobook Pro 15 For Creator, AMD Ryzen 5 Hexa Core 5600HS - (8 GB/512 GB SSD/Windows 11 Home/4 GB...",low,Excellent,AMD Ryzen 5 Hexa Core Processor,8.0,Windows 11 Operating System,512.0,39.62,4.4
ZEBRONICS Pro Series Z Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) ZEB-NBC 4S Thi...,very low,Good,Intel Core i5 Processor (12th Gen),8.0,Windows 11 Operating System,512.0,39.62,3.8
Infinix Y4 Max Series Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) YL613 Thin and...,very low,Excellent,Intel Core i3 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,40.64,4.3
Lenovo LOQ Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFo...,low,Excellent,Intel Core i5 Processor (12th Gen),16.0,Windows 11 Operating System,512.0,39.62,4.2
ASUS Zenbook 14 OLED (2023) Intel EVO P-Series Intel Core i7 13th Gen 1360P - (16 GB/512 GB SSD/Window...,Moderate,Excellent,Intel Core i7 Processor (13th Gen),16.0,Windows 11 Operating System,512.0,35.56,4.9
